study_name,model_label,seq_length,features_length,accuracy_avg,pneumonia_precision_avg,covid_precision_avg,healthy_precision_avg,pneumonia_recall_avg,covid_recall_avg,healthy_recall_avg,pneumonia_f1_avg,covid_f1_avg,healthy_f1_avg,pneumonia_specifity_avg,covid_specifity_avg
experiment_1,base_2-15,15,512,0.69996534996535,0.8327777777777777,0.7015492350786469,0.681068931068931,0.6599999999999999,0.7218406593406593,0.710989010989011,0.6866432748538012,0.7010343450241149,0.6933153691774381,0.9164652716376853,0.8010869565217391
experiment_1,base_2-20,20,512,0.6205936705936705,0.8066666666666666,0.6058714969241284,0.6337295160979372,0.31999999999999995,0.7361263736263737,0.7274725274725274,0.41564102564102556,0.6573376623376623,0.6662149977047676,0.9485411140583555,0.725
experiment_1,base_3-5,5,512,0.8944444444444445,0.8,0.9,0.9129870129870131,0.8,0.9538461538461538,0.9076923076923077,0.8,0.9177142857142858,0.9092592592592592,0.976923076923077,0.9043478260869566
experiment_1,base_3-10,10,512,0.9222222222222222,0.909090909090909,0.909090909090909,0.9428571428571428,0.9199999999999999,0.8923076923076924,0.9538461538461538,0.9142857142857143,0.9,0.9481481481481481,0.9615384615384615,0.9565217391304348
experiment_1,base_3-15,15,512,0.8131439131439132,0.8134421134421135,0.7917110959216223,0.869047619047619,0.9400000000000001,0.8626373626373626,0.6637362637362638,0.8643892339544514,0.8238076993249408,0.7469093804745979,0.8849002849002849,0.8786231884057971
experiment_1,base_3-20,20,512,0.9001501501501501,0.8857142857142858,0.9199999999999999,0.9033333333333333,0.9199999999999999,0.876923076923077,0.9076923076923077,0.9,0.8963478260869564,0.905103448275862,0.9384615384615385,0.9652173913043478
experiment_1,base_4-5,5,512,0.8561561561561561,0.8929292929292929,0.8571153846153846,0.853781512605042,0.8,0.8791208791208792,0.8780219780219781,0.820435704646231,0.8647972716938235,0.8636402116402117,0.9772079772079773,0.9047101449275363
experiment_1,base_4-10,10,512,0.8574382074382075,0.8401307189542482,0.8868002585649645,0.8711111111111112,0.86,0.8347527472527473,0.876923076923077,0.841598440545809,0.8572203159159681,0.8697268248992387,0.9087729639453777,0.9394927536231883
experiment_1,base_4-15,15,512,0.8340840840840841,0.8194444444444444,0.8749299719887956,0.8084415584415584,0.78,0.8780219780219781,0.8318681318681319,0.7946836788942051,0.8737142857142857,0.8173690932311622,0.9393162393162392,0.9130434782608695
experiment_1,base_4-20,20,512,0.8196003696003696,0.7497169497169497,0.8213095238095238,0.9,0.7999999999999999,0.8358516483516484,0.8175824175824177,0.7675225030723751,0.827521164021164,0.8556524216524217,0.9038707142155419,0.8873188405797101
experiment_1,densenet121-5,5,1024,0.8074613074613076,0.8095238095238095,0.8413461538461539,0.7885225885225886,0.7,0.8951923076923076,0.8,0.72638326585695,0.8625582750582751,0.7853600103600102,0.9538461538461538,0.8789855072463768
experiment_1,densenet121-10,10,1024,0.8731000231000232,0.8868181818181817,0.857948717948718,0.8903296703296704,0.8200000000000001,0.9087912087912088,0.876923076923077,0.8488387635756057,0.8790512951803274,0.8815558032949337,0.9621082621082622,0.8960144927536232
experiment_1,densenet121-15,15,1024,0.8133171633171633,0.8772727272727273,0.8814814814814815,0.7538217338217338,0.8,0.8523351648351648,0.7857142857142858,0.8158730158730159,0.8462150537634407,0.7538898871490641,0.9629040180764319,0.8608695652173914
experiment_1,densenet121-20,20,1024,0.9282051282051281,0.8961038961038961,0.9666666666666668,0.9176470588235294,0.8800000000000001,0.9538461538461538,0.9384615384615385,0.8845938375350141,0.96,0.9253333333333333,0.970026525198939,0.9826086956521738
experiment_1,densenet169-5,5,1664,0.7967775467775468,0.7714141414141414,0.8118181818181819,0.7996153846153846,0.72,0.8387362637362639,0.8153846153846154,0.7420718462823725,0.8155462601914214,0.7991016001542318,0.9252382355830632,0.8438405797101449
experiment_1,densenet169-10,10,1664,0.9166666666666667,0.9,0.9111111111111111,0.9333333333333332,0.86,0.9538461538461538,0.923076923076923,0.875,0.9290322580645161,0.9280000000000002,0.976923076923077,0.9304347826086957
